# A B C D
-0.1066 -0.0946 -0.0921 +0.0389
-0.0725 -0.0370 -0.0987 +0.1314
-0.1988 -0.1052 -0.1802 +0.0442
-0.0516 -0.2234 -0.3888 -0.0785
-0.1454 -0.0413 -0.0347 +0.1103
+0.1595 +0.1436 +0.1256 +0.2193
+0.1409 +0.1288 +0.1353 +0.1603
-0.0622 -0.2189 -0.3327 -0.0156
-0.0150 +0.0122 +0.0005 +0.1245
-0.2390 -0.3310 -0.3023 +0.0348
+0.0477 +0.0578 +0.0310 +0.1291
+0.1073 +0.1290 +0.1109 +0.2205
+0.1505 +0.1463 +0.1317 +0.1861
+0.1545 -0.0742 -0.1941 +0.0646
+0.1261 +0.1515 +0.1170 +0.2812
+0.1189 +0.0225 +0.0199 +0.1818
-0.2049 -0.1084 -0.1510 +0.1182
+0.0997 +0.1575 +0.1298 +0.2446
-0.3397 -0.3680 -0.5136 -0.0728
-0.0768 -0.4259 -0.6080 -0.0855
+0.0258 -0.0044 -0.0098 +0.1098
-0.1951 -0.1078 -0.1012 -0.0116
-0.0103 -0.5936 -0.8323 -0.1341
+0.0890 +0.1032 +0.1019 +0.2120
+0.0435 +0.0709 +0.0604 +0.2206
-0.1787 -0.2079 -0.2618 +0.0364
+0.0381 +0.0473 +0.0193 +0.1207
+0.0561 +0.0830 +0.0169 +0.1968
+0.0873 +0.1447 +0.1472 +0.2426
-1.2129 -1.1196 -1.5914 -0.1953
+0.0818 +0.1299 +0.1123 +0.2182
+0.0143 +0.0049 -0.0315 +0.1042
-0.0795 +0.0777 +0.0713 +0.1901
+0.0803 -0.2466 -0.4967 +0.1561
-0.2230 -0.4068 -0.3741 +0.0462
+0.0117 -0.2756 -0.3972 +0.0332
-0.1037 -0.0267 -0.0152 +0.0672
+0.0960 +0.0326 +0.0324 +0.2423
+0.0733 +0.1380 +0.1401 +0.1662
-0.2902 -0.2543 -0.4164 -0.1535
-0.4103 -0.4147 -0.5008 -0.0115
+0.0548 +0.0992 +0.0796 +0.1837
+0.0212 +0.0679 +0.0609 +0.1933
+0.1065 +0.1681 +0.1559 +0.2553
+0.0314 +0.1670 +0.1623 +0.3047
-0.0106 -0.0248 -0.0335 +0.1181
+0.0726 +0.1262 +0.1153 +0.2463
+0.0420 +0.0467 +0.0364 +0.0862
+0.1163 +0.1305 +0.1253 +0.0945
+0.0788 +0.1853 +0.1508 +0.2248
